stock_code,avg_price,price_volatility,avg_daily_change,change_volatility,avg_volume,max_gain,max_loss,return_risk_ratio,beta,cluster
AEFES,157.486,3.275,-1.83,1.51,8820437.429,-0.33,-4.39,-0.559,0.78,1
AKBNK,52.171,1.71,0.4,2.321,143521303.0,2.47,-3.26,0.234,1.191,0
ASELS,136.171,1.879,-0.05,2.301,37783928.857,3.01,-4.55,-0.027,1.222,0
ASTOR,98.186,3.455,-1.411,2.589,9849833.143,1.29,-4.55,-0.408,1.719,2
BIMAS,481.964,2.538,-0.61,2.049,5228287.429,2.14,-4.71,-0.24,0.97,1
CIMSA,53.279,2.021,-0.469,2.14,11032333.0,3.24,-2.94,-0.232,0.371,1
EKGYO,14.343,2.154,0.969,3.021,246458855.0,4.41,-3.78,0.45,0.874,3
ENKAI,64.257,2.211,-1.507,1.224,19179347.0,0.62,-3.02,-0.682,-0.555,1
EREGL,24.4,2.146,-0.586,1.196,140636672.857,0.49,-2.49,-0.273,0.473,1
FROTO,92.0,4.243,-0.964,3.244,11088774.0,3.48,-4.96,-0.227,2.07,2
GARAN,111.886,1.104,0.077,2.285,21848715.0,2.91,-3.08,0.07,1.352,0
HEKTS,3.171,1.24,-0.16,2.094,75180951.143,2.56,-3.1,-0.129,0.901,0
ISCTR,10.983,1.235,0.424,1.84,469636976.143,2.43,-2.19,0.343,0.85,0
KCHOL,153.257,3.177,0.47,4.684,31812124.857,7.14,-3.64,0.148,2.819,3
KOZAL,25.291,1.147,0.279,1.255,48783334.857,2.63,-1.18,0.243,0.605,0
KRDMD,23.789,2.291,-1.064,1.778,54808234.857,1.0,-3.91,-0.464,0.678,1
MGROS,515.214,2.377,-0.687,1.341,1321529.0,0.95,-2.74,-0.289,0.956,1
PETKM,17.456,2.61,-0.9,1.584,46387931.429,1.3,-2.33,-0.345,1.112,1
PGSUS,246.543,1.581,-0.194,2.074,6651622.143,1.95,-3.51,-0.123,1.161,0
SAHOL,78.05,0.745,-0.184,1.393,29822094.286,1.22,-2.02,-0.247,0.828,0
SASA,3.636,1.419,-0.59,2.465,456891924.857,3.95,-3.96,-0.416,-0.083,1
SISE,36.243,1.884,-0.694,1.876,26227849.857,1.42,-2.56,-0.368,1.351,1
TAVHL,228.557,1.87,-1.043,1.326,2631476.286,0.17,-3.02,-0.558,0.218,1
TCELL,97.636,1.211,0.18,1.521,20042338.571,2.47,-1.75,0.149,0.441,0
THYAO,287.179,2.156,-0.974,1.424,33313980.286,1.61,-2.44,-0.452,0.972,1
TOASO,208.057,3.945,-1.234,2.879,7275613.571,1.78,-5.61,-0.313,2.066,2
TTKOM,61.029,1.362,-0.123,1.385,15567915.857,1.67,-1.94,-0.09,1.05,0
TUPRS,131.071,1.866,-0.43,1.943,12777889.571,1.97,-2.83,-0.23,1.088,0
ULKER,113.157,1.424,-0.914,1.372,6473560.571,0.63,-2.89,-0.642,0.692,1
YKBNK,26.491,2.191,1.286,3.224,330570131.857,5.71,-1.49,0.587,1.825,3
