Stock_Code,Last_Price,Previous_Price,Change_Percent,High,Low,Weighted_Average,Volume_Lot,Volume_TL,Tarih
AEFES,150.80,148.70,-1.37,154.70,150.80,0.00,7934287,0.0,2025-05-23
AKBNK,51.90,50.15,-3.26,54.20,51.55,0.00,150177070,0.0,2025-05-23
ASELS,136.20,135.40,-0.58,138.50,134.40,0.00,25281020,0.0,2025-05-23
ASTOR,94.10,92.40,-1.77,96.35,93.90,0.00,8291231,0.0,2025-05-23
BIMAS,476.50,476.50,0.00,482.75,474.50,0.00,5678853,0.0,2025-05-23
CIMSA,51.25,49.70,-2.94,52.85,51.25,0.00,6622050,0.0,2025-05-23
EKGYO,14.03,14.07,0.29,14.29,13.83,0.00,238333240,0.0,2025-05-23
ENKAI,62.20,61.80,-0.64,64.35,61.85,0.00,19994690,0.0,2025-05-23
EREGL,23.54,23.20,-1.42,24.04,23.48,0.00,123110080,0.0,2025-05-23
FROTO,86.90,85.40,-1.70,89.50,86.45,0.00,11354524,0.0,2025-05-23
GARAN,110.80,109.20,-1.42,113.80,110.40,0.00,19874382,0.0,2025-05-23
HEKTS,3.11,3.06,-1.58,3.16,3.08,0.00,59135912,0.0,2025-05-23
ISCTR,11.00,10.88,-1.08,11.25,10.90,0.00,415918968,0.0,2025-05-23
KCHOL,147.60,144.40,-2.12,151.90,146.00,149.23,24973913,3726857.0,2025-05-23
KOZAL,25.64,25.52,-0.47,25.98,24.76,25.29,71427674,1806405.9,2025-05-23
KRDMD,22.98,22.76,-0.95,23.58,22.92,0.00,50082037,0.0,2025-05-23
MGROS,500.00,496.00,-0.79,507.00,494.00,0.00,1479293,0.0,2025-05-23
PETKM,16.75,16.43,-1.87,17.18,16.74,0.00,23719978,0.0,2025-05-23
PGSUS,242.80,241.50,-0.53,246.70,241.30,0.00,5723026,0.0,2025-05-23
SAHOL,77.25,76.20,-1.34,79.65,76.50,0.00,27012835,0.0,2025-05-23
SASA,3.65,3.60,-1.35,3.70,3.61,0.00,431751297,0.0,2025-05-23
SISE,35.14,34.22,-2.55,35.96,35.08,0.00,24322693,0.0,2025-05-23
TAVHL,223.40,223.10,-0.13,225.90,220.70,0.00,2056734,0.0,2025-05-23
TCELL,98.00,96.25,-1.75,100.30,96.85,0.00,17736812,0.0,2025-05-23
THYAO,279.75,275.25,-1.58,286.25,279.75,0.00,35282919,0.0,2025-05-23
TOASO,195.40,186.60,-4.31,204.00,195.30,0.00,6770566,0.0,2025-05-23
TTKOM,60.25,59.65,-0.99,61.55,59.60,0.00,14317861,0.0,2025-05-23
TUPRS,128.60,128.30,-0.23,130.20,126.70,0.00,9948202,0.0,2025-05-23
ULKER,110.20,107.70,-2.22,113.10,109.80,0.00,5283935,0.0,2025-05-23
YKBNK,26.42,26.02,-1.49,27.20,26.38,0.00,233677355,0.0,2025-05-23
